编号	标题	名字	表情	内容
		苏暖暖	3	你很过分诶，我有这么喜感吗？明明cos的就是神乐。
		大喵	2	你以为神乐就不喜感吗……
		苏暖暖	3	穿旗袍的中国女孩，似乎在日漫里中国女孩都穿的旗袍呢。
		大喵	2	打扮的时候别忘了春丽头，很经典的哟。
		苏暖暖	3	这我当然知道！
52	婚礼进行时	苏暖暖	3	妈妈明天要带我去参加她发小女儿的婚礼。她又数落我说人家都结婚了我还没男朋友，烦死！
		大喵	2	你确实不是正常人类，现在都没男朋友。
		苏暖暖	2	可是我有大喵呀！
		大喵	2	不要恶心好吗！
		苏暖暖	6	啊，大喵不要我了！
		大喵	2	咱俩不合适！
		苏暖暖	3	唉，大喵嫌弃我了！还是考虑考虑参加别人婚礼的事吧…… 
		大喵	1	应该要正式点？
		苏暖暖	2	哼哼，来个极致华丽和美感的震撼全场也不错！
53	去体验农家乐吧！	苏暖暖	3	好想挖野菜……采蘑菇……
		大喵	3	昨天的野菜没吃够吗？
		苏暖暖	4	不是啊，难道你没有觉得自己挖野菜很有乐趣吗？
		大喵	2	我只觉得吃很有乐趣。也不怕弄脏衣服……
		苏暖暖	1	只要穿得宽松+耐脏就行了，当然深色的衣服是首选。话说回来，你真的不和我一起去吗？
54	夜幕下的甜蜜回忆⑧	苏暖暖	3	虽说是为了调查真相，这样做是不是太过分了呢……
		江川南	5	怎么了？
		苏暖暖	3	在水族馆的时候她刻意躲着我接了个电话，我觉得很可疑就偷偷地把那个号码记下来了。
		江川南	5	确实很过分，但是不失为一个优秀的侦探！
		苏暖暖	3	我一直在犹豫要不要打这个电话，毕竟她一直把我当作朋友看待。
		江川南	1	就此收手吗……我也不想让暖暖你为难。
		苏暖暖	3	上次侦探先生说一定要追查真凶，是为什么？
		江川南	1	因为……因为被害者是我的亲人。
		苏暖暖	4	这样啊。我还是打过去看看吧。相信她不会是凶手的。
		苏暖暖	4	（数分钟后）我打了。对方是个男人。说有什么问题的话可以当面问他。
		江川南	1	这也许是最后的机会了，交给你了。
		苏暖暖	5	嗯……要想办法刚见面就给他一个好印象……
55	戳戳戳！	苏暖暖	1	啦啦啦，明天去打斯诺克！
		大喵	2	你确定能戳到母球吗？
		苏暖暖	1	戳戳戳么总能戳到的呀！
		大喵	2	……
		苏暖暖	2	不管怎么说打斯诺克的绅士们很让人向往……！我要像个绅士！在打扮上取胜！
		大喵	3	这应该也是你唯一能取胜的点了……不知道是喜是悲啊……
56	好身材就要练出来！	苏暖暖	3	又重了……
		大喵	2	吃货加睡货，再不长胖不就逆天了吗？
		苏暖暖	3	要好好减肥了呢，可是长跑好累啊……诶，似乎瑜伽很流行的样子，不然……
		大喵	2	那就不能穿你最喜欢的牛仔裤了。
		苏暖暖	1	为了瘦，一两个小时不穿牛仔裤算什么！是不是应该找套瑜伽服出来呢……
		大喵	1	没有瑜伽服的话，紧身点的衣服也可以吧。
57	晚礼服光辉下的幸运儿⑨	设计师	4	（工作室烟雾缭绕）模特扭伤脚了怎么办怎么办怎么办怎么办……
		苏暖暖	4	……
		姐姐	4	……
		设计师	4	（自言自语）怎么办怎么办怎么办怎么办……
		苏暖暖	4	……
		姐姐	4	……
		苏暖暖	4	这样会不会有偷窥的嫌疑？
		姐姐	4	工作室是开着门的！
		设计师	4	（自言自语）怎么办怎么办怎么办怎么办……
		苏暖暖	4	这样反而不知道该如何开口了。
		姐姐	2	那个……
		设计师	1	嗯？（看到苏暖暖后两眼放光）不如你来当我的模特好了！
		苏暖暖	6	什……什么？
		姐姐	2	……
		苏暖暖	6	（果然设计师的逻辑都不是常人所能理解的吗？）。
		设计师	3	这次我参加的主题是童话风！
		苏暖暖	6	（我已经被默认为他的模特了吗？）。
		姐姐	3	愣着干什么，还不快点去试衣服！
		姐姐	3	这种天赐的好事怎么就从来掉不到我身上啊啊啊啊啊啊啊！
		苏暖暖	3	可是我觉得……好诡异啊……
58	参加钢琴比赛什么的	苏暖暖	2	大喵！你看这是什么！
		大喵	5	买五花肉的优惠券吗？
		苏暖暖	2	超级琴生钢琴比赛上场证！
		大喵	5	纳尼？！我怎么不知道你会弹钢琴？这个世界坏掉了吗？
		苏暖暖	4	……谁说我去弹钢琴的？
		大喵	2	去弹棉花吗？
		苏暖暖	2	站在演奏者身边的礼仪！
		大喵	2	其实是站在舞台角落里的礼仪吧……
		苏暖暖	2	反正……能上场就对了！你说礼仪应该穿什么衣服呢？
59	暖暖梦游仙境	苏暖暖	1	迎新晚会上我们社团要表演舞台剧呢，明天就要彩排了，可是衣服要自己准备。
		大喵	2	你演什么？苏暖暖懒散的一天？
		苏暖暖	6	才不是！
		大喵	2	除了这个你还能演什么？苏暖暖蛋糕烤糊记？
		苏暖暖	4	明明是爱丽丝梦游仙境！
		大喵	2	那不适合你……
		苏暖暖	4	讨厌！等我找到了欧式梦幻风的衣服再来收拾你！
60	去拍短片！	苏暖暖	2	被人邀请去拍短片了呢。
		大喵	2	纳尼？短片是叫苏暖暖的迷路生涯吗？
		苏暖暖	4	去！说是要介绍苏州古镇文化的。
		大喵	3	没劲。
		苏暖暖	4	喂喂，别睡啊，提个意见嘛。
		大喵	3	不是很简单吗，穿得古色古香一点和苏州古建筑不冲突不就行了？
61	夜幕下的甜蜜回忆⑨	苏暖暖	2	哈哈！不虚此行！得到了重要的情报。
		江川南	5	哦？
		苏暖暖	4	那个男人是她的男朋友。上个月刚刚确认了彼此的心意。这是她的第一次恋爱……
		苏暖暖	4	所以她很开心却也很害怕，以至于不敢和别人说起有男朋友的事。男人倒也体谅她的心情。
		江川南	5	这……和案子有什么关系吗？
		苏暖暖	4	当然有关系！因为他们确认彼此心意的时候就是案发当晚！
		苏暖暖	4	对！她说谎了，其实她那天和那个男人在一起……
		苏暖暖	4	……嗯……她还做了好吃的饭菜给他吃。想必学蛋糕也是为了他吧。
		江川南	1	就是说，她也有了不在场证明……对吧？
		苏暖暖	4	是啊，看来这三人都没有可能作案。呼……调查要到此为止了。虽然不甘心……
		江川南	1	要说嫌疑人的话……其实还有一人存在。
		苏暖暖	4	啊？为什么不早说？这个神秘的第四人……有什么特别之处吗？
		江川南	1	特别之处就是，她绝对没有不在场证明……
		江川南	1	案发当时她正穿过事发公园却诡辩完全没注意到凶案的发生！
		苏暖暖	4	什么什么？还有这样的人物？ 
		江川南	1	这第四人……就是你。
		苏暖暖	6	我……？别开玩笑了……我怎么可能……
		江川南	2	你……你还我的小雅，还我的小雅！
		苏暖暖	6	……我真的什么都不知道啊。
		江川南	2	去换件低调素净些的衣服，然后跟我来，也许能让你想起点什么。
62	无聊的时候就小资一点	苏暖暖	4	要和同学去咖啡店，大喵你好好看家。
		大喵	2	回来记得给我带五花肉啊~
		苏暖暖	4	咖啡店没有五花肉卖！
		大喵	2	小气。
		苏暖暖	4	这不是小气的问题……啊，都是你，快到约好的时间了，我还没换衣服。
		大喵	2	随便穿件就行了，又不给我买五花肉。
		苏暖暖	4	怎么能随便穿啊，去咖啡店的话应该要穿得“低调的华丽”吧……
		大喵	3	噗……
		苏暖暖	4	总之不能太学生！
63	想游泳还是去海边	苏暖暖	4	啊——好热！
		大喵	3	吃冷饮都不消暑的话不如去游泳吧。
		苏暖暖	6	诶？
		大喵	3	……你眼巴巴跑到海南来就是为了暴晒的吗！
		苏暖暖	1	哈……哈……只是热得懒得动而已嘛~那……我去把泳衣翻出来？
		大喵	2	有泳衣么你？不过这次就算没有也找不出替代品了，哼哼。
64	晚礼服光辉下的幸运儿⑩	苏暖暖	4	（比赛前一天，工作室烟雾缭绕）就快要比赛了，怎么这么沮丧？
		设计师	2	衣服……不知道怎么回事，支离破碎了。
		苏暖暖	6	什……什么？！
		大喵	3	（祝你的衣服被撕烂）。
		设计师	4	一定是他做的，对的，一定是他！
		姐姐	4	你知道是谁弄的？
		设计师	4	一个对手，几次大赛都比不过我，我最近见他在工作室周围鬼鬼祟祟地做些什么。但还没证据。
		姐姐	4	可是明天就比赛了，证据什么的……
		苏暖暖	5	明天比赛的话今天就要好好努力了！
		设计师	2	衣服已经被撕成这个样子了，怎么好好努力……
		苏暖暖	5	不是还有一天的时间吗，没关系的，相信你一定可以的！
		姐姐	5	（这种话我也会说）。
		设计师	4	而且他一定看过我的样式了，会模仿吗？
		苏暖暖	5	那就换个主题！
		设计师	1	汉服……汉服！
		苏暖暖	6	什么？
		设计师	4	快，穿上身汉服给我看看！
		苏暖暖	6	啊？
		设计师	4	对……真是完美！主题换成汉服，添上流行元素……完美……
		苏暖暖	2	离设计大赛还有24小时，我们要加油了！
65	想要卖萌	苏暖暖	2	喵。
		大喵	5	你干什么！
		苏暖暖	2	突然想要穿套卖萌的衣服自拍下。
		大喵	5	你自己穿就好，别在家里喵来喵去！
		苏暖暖	2	一定要戴耳朵！
		大喵	5	救命……
		苏暖暖	2	所以我要看看有没有既有耳朵又很萌的衣服。
66	夜幕下的甜蜜回忆⑩	江川南	1	看！小雅本和他们一样可爱，现在本应在快乐地吃饭！而你却……你却……
		苏暖暖	4	什么呀，这里只有一笼兔子嘛。
		江川南	1	小雅是它们的一员，在一个月前惨遭毒手再也没有回来！
		苏暖暖	6	我了个去啊！！被害者是一只兔子啊！
		江川南	1	你以为是什么？是人的话警察早就开始调查了还轮得到你我吗！
		苏暖暖	6	这……
		江川南	1	小雅它们都是我的亲人！每天带给我快乐，它们的生命不该被尊重吗！
		苏暖暖	3	好吧，不过我的确没见过兔子，话说你把兔子养在楼道会给邻居造成困扰的！
		苏暖暖	3	而且……这个楼道怎么好熟悉的感觉……
		江川南	1	哼。他们三个都住在这里呀。每天都对我的兔子很不满！
		苏暖暖	4	原来如此……啊！！我知道了！
		江川南	1	什么？！
		苏暖暖	1	等我回去换件帅气的衣服，再回来帅气地解开谜题！
67	不然去学打乒乓吧？	苏暖暖	3	在家里好无聊哦，毛茸茸手工店最近又在休息，做些什么好呢？
		大喵	1	体育馆开了个球类辅导班，你要去报名学学吗？
		苏暖暖	1	诶？好像很有兴趣的样子！最喜欢足球了！
		大喵	4	听说踢足球的时候骨折是必修课哦。
		苏暖暖	4	啊……那么放弃。安全一点的运动……篮球好像也不是很安全。
		大喵	4	乒乓球最适合你了，又不用跑很多路。除非对手朝你扔乒乓板，不然也不会受伤吧。
		苏暖暖	5	那么就去学乒乓好了！嗯……应该要穿得宽松一点吧。
68	义卖也是很有意义的	苏暖暖	2	大喵，你看我折的埃菲尔铁塔！
		大喵	3	哟，今天打鸡血了吗？
		苏暖暖	4	明天我们组织的义卖就要开始了呢，不多折点东西怎么卖啊。你说有人会买折纸吗？
		大喵	3	只要造型有爱，放着做摆设也是好的，为什么没人买？
		苏暖暖	5	这样我就放心了。
		大喵	1	义卖的话记得穿朴素点，要是穿得花枝招展的别人还以为你是个托。
		苏暖暖	5	知道了啦……
69	晚礼服光辉下的幸运儿11	苏暖暖	6	突然紧张了……
		大喵	2	光顾着紧张而不去换衣服真符合你的风格啊。
		苏暖暖	6	！
		大喵	2	穿着设计师建议的服装上台走秀一定会取得好成绩吧，啧。
		苏暖暖	6	你怎么在这里！？
		大喵	2	你姐姐把你拜托给我了，但实际上我一直在负责你啊。
		苏暖暖	4	姐姐呢？
		大喵	2	她说抓坏人去了。
		苏暖暖	6	啊？
		大喵	2	啊什么啊，抓那个破坏设计师作品的坏蛋对手呀！
		苏暖暖	4	哦！！
		大喵	2	哦什么哦！就快到你了，还不去换衣服！成了明星之后别忘了天天请我吃五花肉哟，啧。
70	百年校庆	苏暖暖	4	诶，学校百年校庆有发20元食堂餐券当福利呢！
		大喵	3	食堂里有五花肉吗？不如这20元当我的福利吧。
		苏暖暖	4	去，百年校庆在明天你急什么，再说要先填饱我的肚子。
		大喵	3	自私自利。
		苏暖暖	3	哼哼。
		大喵	5	干嘛这么看着我，呐，这样好了，你省点一天吃5块，剩下15元给我买五花肉。
		苏暖暖	3	……我还是先考虑下明天穿什么吧，嗯……学生装当然是最好的。
71	不如去写生吧	苏暖暖	1	听说无锡的樱花开了呢。
		大喵	2	樱花比五花肉好吃吗？
		苏暖暖	4	有点追求行不行！
		大喵	3	我的追求就是五花肉和睡觉。
		苏暖暖	4	算了，我自己约同学去吧，写生肯定很有意思。
		大喵	3	写生啊~那就不要穿白衣服去了呗，免得弄得衣服上都是颜料。
		苏暖暖	1	我才没有这么逊！不过是不能穿容易脏的衣服，毕竟是出游嘛。
72	晚礼服光辉下的幸运儿12	大喵	5	（设计师的作品在大赛中一举斩获大奖，作为模特的暖暖功不可没）。
		大喵	2	这么早又要出门啊。
		苏暖暖	2	是啊，自从获奖后好多人来找我当平面模特，小金库里囤了好多金，要好好谢谢设计师呢。
		大喵	2	一个人去吗？
		苏暖暖	2	你要陪我去？
		大喵	2	终于要丢下姐姐了吗？
		苏暖暖	5	我是以个人名义去的。
		大喵	2	姐姐会生气的哟。
		苏暖暖	6	吵死了！你除了吐槽还会别的什么吗？
		大喵	3	哟，生气了。祝你的……
		苏暖暖	6	快闭嘴，就你是乌鸦嘴！我还要留着力气看看穿什么衣服呢。
		大喵	2	嘁，什么都怪我头上。设计师一定喜欢设计感强的衣服。
		苏暖暖	3	可是姐姐说要穿得正式一点。
		大喵	2	所以设计师先前才会对你这么冷淡啊……
		暖暖	1	（叮咚……叮咚……）啊，我去开门！
		苏暖暖	4	姐姐？！
		姐姐	1	哼哼，我就知道你会抛弃我，所以我捷足先登。
		苏暖暖	4	才没有抛下姐姐，我是想以个人名义去感谢设计师。
		姐姐	4	可是我很好奇设计师会给你什么礼物。讨厌，明明应该你去我家找我的！
		苏暖暖	4	礼物？
		姐姐	4	是啊，他说要好好感谢你。
		苏暖暖	4	感谢我？
		姐姐	4	他说你给了他希望和勇气什么的……哎呀，这种话你自己去问他就好了！
73	生病了……	苏暖暖	3	阿嚏！
		大喵	5	别把喷嚏打到我的饭碗里！
		苏暖暖	3	啊……好难受啊……
		大喵	5	求你快去医院，不然就没人帮我买五花肉了！
		苏暖暖	4	难道我的存在只是为了帮你买五花肉吗？
		大喵	3	嗯……（沉思）大概……好像……这就是你人生的全部意义（严肃）。
		苏暖暖	4	大喵！阿嚏……
		大喵	3	去去去，快去医院，嫌弃。
		苏暖暖	3	呜……好无情……
		大喵	3	去医院的话别穿太漂亮哦，反正你一脸菜色衣服也衬不出你的皮肤。
		苏暖暖	3	看我回来怎么收拾你！
74	泰坦尼克号首映！	大喵	1	要出门啊？
		苏暖暖	1	今天赶上泰坦尼克号首映，说好和姐姐一起去看的。
		大喵	2	不是一般都和男朋友一起去看的吗？
		苏暖暖	3	……不要揭我伤疤！
		大喵	2	不要穿得太艳哦，穿得比姐姐美姐姐会生气的。
		苏暖暖	1	那就穿素点好了。
		大喵	2	穿得太土姐姐也会生气的哦。
		苏暖暖	3	！！！麻烦死了！
		大喵	1	我这是好意提醒还这么凶，都说了要尽量小清新一点。
75	夜幕下的甜蜜回忆11	江川南	4	它是……？
		苏暖暖	2	啊，它是我的助手，我要让它看看我大侦探苏暖暖破案时的飒爽英姿！
		大喵	5	什么情况呀，我怎么好像到了别的次元？？
		苏暖暖	5	江川南先生，你是怎么断定小雅在公园遇害呢？
		江川南	1	因为我每晚都会带它们散步，那天到公园附近时，小雅和我们走散了。
		江川南	1	我本以为它是去公园草坪吃草。可是……没想到怎么找也找不到它……
		江川南	1	诡异的失踪加上那三人对它们素来怨恨，我就断定小雅在公园被害了！这就是名侦探的推理！
		江川南	1	但是他们三人都有不在场证明，于是，凶手只可能是你了！你这个路过的恶魔！
		苏暖暖	5	你有没有想过那兔子溜达了一圈之后自己回家的可能性？
		江川南	1	自己……回家？
		苏暖暖	5	对，它溜达了一圈，没找到你们就自己回来了。回到了这个楼道。那么……
		苏暖暖	5	如果它回了楼道，有一个人的不在场证明就失效了！
		苏暖暖	5	没错，凶手就是当晚和男友在家约会的幼儿园老师！
		大喵	5	啊！出现了，指出凶手的震撼的一刻！可是凶手不在场有点寂寞……
		江川南	4	是……是她？
		苏暖暖	5	没错，想必是买夜宵回来时注意到兔子的……
		苏暖暖	5	她的男朋友还说吃到了很美味的饭菜，估计就是煮了你的兔子。
		江川南	4	吃……吃掉了？！！不可原谅！！！
		苏暖暖	5	你大肚一点嘛。要知道你的兔子可是成就了一段夜幕下的甜蜜回忆。
		苏暖暖	5	啊，我突然想起来，那两个人今天打算请大家吃饭，公开恋情呢。一起去吧？
		江川南	1	我……我的兔子……可不是一顿饭就算了的！
		大喵	2	你的兔子也就是一顿饭而已。
		苏暖暖	2	走吧走吧！我得去换件适合宴会的漂亮衣服。
		江川南	1	我说，你一直换衣服累不累，以后别做换装游戏女主角，改做推理游戏主角得了。
		苏暖暖	2	求之不得！
76	K歌去，精神需要放松	苏暖暖	2	你是风儿~~~~~~~~~~~我是沙~~~~~~~~~~♪。
		大喵	5	你打鸡血了吗？！
		苏暖暖	2	你不觉得唱歌可以放松一下吗，最近觉得烦躁死了。
		大喵	2	小心邻居告你扰民……
		苏暖暖	3	诶？我唱得有这么难听吗？
		大喵	2	（我可以说有点吗）。
		苏暖暖	2	你是风儿~~~~~~~~~~~~~~~~♪。
		大喵	2	提议！去KTV吧！
		苏暖暖	2	好想法，我去约姐姐！
77	买菜什么的确实很痛苦	大喵	1	现在才几点啊，你起这么早干什么？
		苏暖暖	3	难得休息日，偶尔也要买个菜嘛，不过真的好困……
		大喵	4	你去买菜？五花肉五花肉五花肉。
		苏暖暖	3	知道了……给你买五花肉……
		大喵	4	暖暖最好了！
		苏暖暖	4	如果不给你买一定又会诅咒我。
		大喵	4	我这么善良，怎么会干如此恶毒的事。
		苏暖暖	3	……我还是先去换件衣服吧。
78	才艺大赛要脱颖而出	苏暖暖	3	一不小心……报了学校的才艺大赛……
		大喵	5	纳尼？你是哪个组的？
		苏暖暖	3	唱歌组……
		大喵	3	好了，你没希望了。
		苏暖暖	4	好歹鼓励一下嘛，明天是要上舞台的。
		大喵	5	什么，丢人要丢到大庭广众中去了！
		苏暖暖	6	喂！
		大喵	2	我是不会来看的哦。
		苏暖暖	5	明天没有五花肉了！我去看看衣橱里有没有能夺人眼球的衣服……
79	成年了就要学车	苏暖暖	3	坐公交车挤来挤去的好麻烦。
		大喵	3	塞个西瓜到肚子里就不会有人来挤你了。
		苏暖暖	4	……我的意思是要学车！我要学车！
		大喵	2	啊？我才不要坐你的车……
		苏暖暖	4	你本来就不出门好不好！
		大喵	2	在家里多好啊~根本不用担心晒成非洲难民。
		苏暖暖	4	你说谁是非洲难民！
		大喵	2	哎呀~我刚才又没指名道姓。
		苏暖暖	1	不管！我要去驾校去学车！
80	去地摊上淘些小饰品	苏暖暖	3	唔……想要个手链，还要项链，最好再来个小发卡。
		大喵	3	反正是晚上了，约个人淘地摊货吧，多便宜。
		苏暖暖	1	对诶，姐姐最喜欢逛地摊了！
		大喵	3	省下的钱给我买五花肉哟。
		苏暖暖	3	整天就知道五花肉。
		大喵	2	小气死了。
		苏暖暖	3	好好好，给你买……
		大喵	2	那就稍微给你点意见好了，穿随便一点好了，要显得老练哟，太嫩会被宰。
		苏暖暖	3	又随便又老练，这是什么奇怪的搭配……
